"age","rel_status","gender","gender_3_TEXT","sex","transgender","transgender_4_TEXT","sexual_attraction","sexual_attraction_4_TEXT","romantic_attraction","romantic_attraction_4_TEXT","attn_check","sex_orient_best","sex_orient_best_9_TEXT","sex_orient_multi","sex_orient_multi_9_TEXT","romantic_orient_best","romantic_orient_best_7_TEXT","rom_orient_multi","rom_orient_multi_7_TEXT","pref_check_1","pref_check_2","pref_check_3","pref_check_4","race","education","sex_with_males","sex_with_females","f_lt_health1","f_lt_health2","f_lt_intell1","f_lt_intell2","f_lt_kind1","f_lt_kind2","f_lt_physatt1","f_lt_physatt2","f_lt_resources1","f_lt_resources2","f_lt_age","m_lt_health1","m_lt_health2","m_lt_intell1","m_lt_intell2","m_lt_kind1","m_lt_kind2","m_lt_physatt1","m_lt_physatt2","m_lt_resources1","m_lt_resources2","m_lt_age","PIN","sexuality","f_lt_health","f_lt_intell","f_lt_kind","f_lt_physatt","f_lt_resources","m_lt_health","m_lt_intell","m_lt_kind","m_lt_physatt","m_lt_resources","ageLik","m_Lt_AgeLik","f_Lt_AgeLik"
"48","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","5","2","1",6,6,5,6,6,6,5,5,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"407",1,6,5.5,6,5,6,NA,NA,NA,NA,NA,5,NA,0
"26","3","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","2","2","6","7","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,7,8,8,7,8,6,9,8,2,"342",1,NA,NA,NA,NA,NA,5.5,7.5,7.5,7,8.5,1,1,NA
"35","4","1","","1","1","","0","","0","","1","4","","4","","5","","13","","2","1","2","1","6","6","2","1",7,6,7,5,8,8,8,7,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"315",1,6.5,6,8,7.5,6,NA,NA,NA,NA,NA,3,NA,0
"36","0","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,5,6,6,3,"435",1,NA,NA,NA,NA,NA,5.5,6,6,5.5,6,3,0,NA
"41","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","3","2","1",1,2,10,0,10,9,1,1,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162",1,1.5,5,9.5,1,5,NA,NA,NA,NA,NA,4,NA,6
"24","2","0","","0","1","","2","","2","","1","1","","","","1","","","","1","1","1","1","6","6","1","1",6,5,6,6,6,7,6,5,5,5,1,5,5,6,6,7,7,6,5,5,5,2,"241",0,5.5,6,6.5,5.5,5,5,6,7,5.5,5,1,1,0
"56","0","0","","0","1","","0","","3","","1","4","","","","0","","","","2","2","1","2","6","8","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"332",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"38","0","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","2","1","5","2","1",9,8,8,8,8,8,8,8,8,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97",1,8.5,8,8,8,8,NA,NA,NA,NA,NA,3,NA,-2
"25","2","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","4","1","1","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,8,8,8,8,7,6,7,6,2,"61",1,NA,NA,NA,NA,NA,7.5,8,8,6.5,6.5,1,1,NA
"32","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","2","1",7,7,6,6,7,7,7,7,8,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"197",1,7,6,7,7,8,NA,NA,NA,NA,NA,2,NA,-1
